month,scenario,product_key,units,fx_usd_cny,ocean_freight_index,yield_rate,bom_unit_cost_usd
2026-11,UPSIDE,DRIVE,302,7.1125,1.0277,0.9132,297.54
2026-11,UPSIDE,EDGE,76,7.1125,1.0277,0.9132,181.73
2026-12,BASE,PANEL-A,975,7.1206,1.0658,0.939,219.46
2026-12,BASE,PANEL-B,415,7.1206,1.0658,0.939,258.04
2026-12,BASE,DRIVE,290,7.1206,1.0658,0.939,297.33
2026-12,BASE,EDGE,73,7.1206,1.0658,0.939,178.53
2026-12,DOWNSIDE,PANEL-A,897,7.1206,1.0658,0.939,219.83
2026-12,DOWNSIDE,PANEL-B,382,7.1206,1.0658,0.939,260.89
2026-12,DOWNSIDE,DRIVE,267,7.1206,1.0658,0.939,300.83
2026-12,DOWNSIDE,EDGE,67,7.1206,1.0658,0.939,181.49
2026-12,UPSIDE,PANEL-A,1053,7.1206,1.0658,0.939,220.03
2026-12,UPSIDE,PANEL-B,448,7.1206,1.0658,0.939,263.78
2026-12,UPSIDE,DRIVE,313,7.1206,1.0658,0.939,299.21
2026-12,UPSIDE,EDGE,79,7.1206,1.0658,0.939,184.9
