kind,version,month,product_key,units,asp_usd,revenue
FCST,FCST-2026-06,2026-10,EDGE,69,387.18,26715.32
FCST,FCST-2026-06,2026-11,PANEL-A,968,425.83,412207.41
FCST,FCST-2026-06,2026-11,PANEL-B,401,518.4,207878.5
FCST,FCST-2026-06,2026-11,DRIVE,290,634.22,183922.61
FCST,FCST-2026-06,2026-11,EDGE,68,387.51,26350.93
FCST,FCST-2026-06,2026-12,PANEL-A,1002,427.92,428778.14
FCST,FCST-2026-06,2026-12,PANEL-B,433,521.06,225618.28
FCST,FCST-2026-06,2026-12,DRIVE,293,637.79,186871.09
FCST,FCST-2026-06,2026-12,EDGE,75,396.48,29735.64
FCST,FCST-2026-09,2026-01,PANEL-A,717,428.6,307303.49
FCST,FCST-2026-09,2026-01,PANEL-B,241,518.54,124967.59
FCST,FCST-2026-09,2026-01,DRIVE,181,638.88,115636.96
FCST,FCST-2026-09,2026-01,EDGE,40,392.41,15696.2
FCST,FCST-2026-09,2026-02,PANEL-A,730,428.57,312857.13
FCST,FCST-2026-09,2026-02,PANEL-B,266,521.03,138594.67
FCST,FCST-2026-09,2026-02,DRIVE,193,635.62,122674.05
FCST,FCST-2026-09,2026-02,EDGE,43,391.04,16814.76
FCST,FCST-2026-09,2026-03,PANEL-A,746,426.63,318268.26
FCST,FCST-2026-09,2026-03,PANEL-B,284,516.16,146590.52
FCST,FCST-2026-09,2026-03,DRIVE,202,649.61,131221.06
FCST,FCST-2026-09,2026-03,EDGE,44,394.67,17365.38
FCST,FCST-2026-09,2026-04,PANEL-A,779,426.13,331953.96
FCST,FCST-2026-09,2026-04,PANEL-B,296,523.02,154813.68
FCST,FCST-2026-09,2026-04,DRIVE,207,642.41,132979.68
FCST,FCST-2026-09,2026-04,EDGE,51,388.41,19808.66
FCST,FCST-2026-09,2026-05,PANEL-A,801,433.76,347444.98
FCST,FCST-2026-09,2026-05,PANEL-B,309,518.22,160131.27
FCST,FCST-2026-09,2026-05,DRIVE,224,640.38,143444.09
FCST,FCST-2026-09,2026-05,EDGE,52,395.21,20550.78
FCST,FCST-2026-09,2026-06,PANEL-A,821,429.06,352259.76
FCST,FCST-2026-09,2026-06,PANEL-B,323,522.9,168895.48
FCST,FCST-2026-09,2026-06,DRIVE,229,634.33,145262.62
FCST,FCST-2026-09,2026-06,EDGE,55,389.92,21445.86
FCST,FCST-2026-09,2026-07,PANEL-A,840,428.12,359619.8
FCST,FCST-2026-09,2026-07,PANEL-B,335,520.44,174348.32
FCST,FCST-2026-09,2026-07,DRIVE,227,645.59,146548.59
FCST,FCST-2026-09,2026-07,EDGE,58,388.84,22552.78
FCST,FCST-2026-09,2026-08,PANEL-A,856,436.03,373239.81
FCST,FCST-2026-09,2026-08,PANEL-B,360,515.3,185509.13
FCST,FCST-2026-09,2026-08,DRIVE,244,643.65,157050.73
FCST,FCST-2026-09,2026-08,EDGE,62,391.39,24265.94
FCST,FCST-2026-09,2026-09,PANEL-A,881,432.12,380696.68
FCST,FCST-2026-09,2026-09,PANEL-B,372,514.8,191503.88
FCST,FCST-2026-09,2026-09,DRIVE,257,645.37,165860.33
FCST,FCST-2026-09,2026-09,EDGE,62,391.89,24297.23
FCST,FCST-2026-09,2026-10,PANEL-A,905,435.84,394431.41
FCST,FCST-2026-09,2026-10,PANEL-B,389,521.66,202925.9
FCST,FCST-2026-09,2026-10,DRIVE,276,640.77,176852.39
FCST,FCST-2026-09,2026-10,EDGE,69,384.66,26541.83
FCST,FCST-2026-09,2026-11,PANEL-A,972,429.37,417344.82
FCST,FCST-2026-09,2026-11,PANEL-B,404,516.76,208771.95
FCST,FCST-2026-09,2026-11,DRIVE,288,631.28,181809.44
FCST,FCST-2026-09,2026-11,EDGE,72,393.07,28300.75
FCST,FCST-2026-09,2026-12,PANEL-A,959,425.6,408148.73
FCST,FCST-2026-09,2026-12,PANEL-B,428,516.98,221267.83
FCST,FCST-2026-09,2026-12,DRIVE,292,632.8,184776.99
FCST,FCST-2026-09,2026-12,EDGE,73,393.29,28709.98
