month,product_key,account_key,plan_units,plan_unit_cost,plan_amount,actual_units,actual_unit_cost,actual_amount,variance_amount,price_variance,volume_variance,driver,account_name,product_name
2026-01,PANEL-B,7300,250.0,7.0,1750.0,247.0,7.0,1729.0,-21.0,0.0,-21.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-02,DRIVE,7000,190.0,304.4,57836.0,177.0,307.54,54433.79,-3402.209999999999,555.7800000000077,-3957.2,Material price,BOM Materials,SPAN Drive
2026-02,DRIVE,7100,190.0,70.0,13300.0,177.0,70.0,12390.0,-910.0,0.0,-910.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-02,DRIVE,7200,190.0,16.54,3142.98,177.0,16.8,2973.06,-169.92000000000007,46.02000000000028,-215.01999999999998,Freight rate,Freight and Duties,SPAN Drive
2026-02,DRIVE,7300,190.0,8.0,1520.0,177.0,8.0,1416.0,-104.0,0.0,-104.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-02,EDGE,7000,43.0,179.59,7722.37,44.0,181.64,7992.18,269.8100000000004,90.19999999999925,179.59,Material price,BOM Materials,SPAN Edge
2026-02,EDGE,7100,43.0,48.0,2064.0,44.0,48.0,2112.0,48.0,0.0,48.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-02,EDGE,7200,43.0,11.03,474.2,44.0,11.4,501.76,27.560000000000002,16.280000000000044,11.03,Freight rate,Freight and Duties,SPAN Edge
2026-02,EDGE,7300,43.0,5.0,215.0,44.0,5.0,220.0,5.0,0.0,5.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-02,PANEL-A,7000,725.0,218.0,158050.0,693.0,231.35,160324.87,2274.8699999999953,9251.549999999996,-6976.0,Material price,BOM Materials,SPAN Panel
2026-02,PANEL-A,7100,725.0,55.0,39875.0,693.0,55.0,38115.0,-1760.0,0.0,-1760.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-02,PANEL-A,7200,725.0,12.87,9327.85,693.0,12.42,8610.41,-717.4400000000005,-311.8499999999995,-411.84,Freight rate,Freight and Duties,SPAN Panel
2026-02,PANEL-A,7300,725.0,6.0,4350.0,693.0,6.0,4158.0,-192.0,0.0,-192.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-02,PANEL-B,7000,265.0,256.33,67927.45,270.0,277.6,74950.73,7023.279999999999,5742.900000000011,1281.6499999999999,Material price,BOM Materials,SPAN Panel Pro
2026-02,PANEL-B,7100,265.0,62.0,16430.0,270.0,62.0,16740.0,310.0,0.0,310.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-02,PANEL-B,7200,265.0,14.7,3896.56,270.0,15.17,4095.59,199.0300000000002,126.90000000000018,73.5,Freight rate,Freight and Duties,SPAN Panel Pro
2026-02,PANEL-B,7300,265.0,7.0,1855.0,270.0,7.0,1890.0,35.0,0.0,35.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-03,DRIVE,7000,200.0,296.34,59268.0,223.0,300.41,66990.83,7722.830000000002,907.6100000000112,6815.82,Material price,BOM Materials,SPAN Drive
2026-03,DRIVE,7100,200.0,70.0,14000.0,223.0,70.0,15610.0,1610.0,0.0,1610.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-03,DRIVE,7200,200.0,20.67,4133.52,223.0,19.67,4385.89,252.3699999999999,-223.0,475.41,Freight rate,Freight and Duties,SPAN Drive
2026-03,DRIVE,7300,200.0,8.0,1600.0,223.0,8.0,1784.0,184.0,0.0,184.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-03,EDGE,7000,46.0,180.38,8297.48,45.0,180.61,8127.54,-169.9399999999996,10.350000000000819,-180.38,Material price,BOM Materials,SPAN Edge
2026-03,EDGE,7100,46.0,48.0,2208.0,45.0,48.0,2160.0,-48.0,0.0,-48.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-03,EDGE,7200,46.0,13.78,633.81,45.0,13.33,599.98,-33.82999999999993,-20.249999999999968,-13.78,Freight rate,Freight and Duties,SPAN Edge
2026-03,EDGE,7300,46.0,5.0,230.0,45.0,5.0,225.0,-5.0,0.0,-5.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-03,PANEL-A,7000,750.0,217.67,163252.5,786.0,216.3,170009.84,6757.3399999999965,-1076.8199999999813,7836.12,Material price,BOM Materials,SPAN Panel
2026-03,PANEL-A,7100,750.0,55.0,41250.0,786.0,55.0,43230.0,1980.0,0.0,1980.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-03,PANEL-A,7200,750.0,16.07,12056.1,786.0,16.44,12922.48,866.3799999999992,290.8200000000008,578.52,Freight rate,Freight and Duties,SPAN Panel
2026-03,PANEL-A,7300,750.0,6.0,4500.0,786.0,6.0,4716.0,216.0,0.0,216.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-03,PANEL-B,7000,280.0,262.14,73399.2,269.0,259.6,69831.15,-3568.050000000003,-683.2599999999902,-2883.54,Material price,BOM Materials,SPAN Panel Pro
2026-03,PANEL-B,7100,280.0,62.0,17360.0,269.0,62.0,16678.0,-682.0,0.0,-682.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-03,PANEL-B,7200,280.0,18.37,5143.94,269.0,18.42,4953.99,-189.94999999999982,13.450000000000191,-202.07000000000002,Freight rate,Freight and Duties,SPAN Panel Pro
2026-03,PANEL-B,7300,280.0,7.0,1960.0,269.0,7.0,1883.0,-77.0,0.0,-77.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-04,DRIVE,7000,210.0,300.97,63203.7,189.0,296.99,56130.44,-7073.259999999995,-752.2200000000034,-6320.370000000001,Material price,BOM Materials,SPAN Drive
2026-04,DRIVE,7100,210.0,70.0,14700.0,189.0,70.0,13230.0,-1470.0,0.0,-1470.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-04,DRIVE,7200,210.0,17.34,3640.52,189.0,17.78,3360.26,-280.25999999999976,83.16000000000024,-364.14,Freight rate,Freight and Duties,SPAN Drive
2026-04,DRIVE,7300,210.0,8.0,1680.0,189.0,8.0,1512.0,-168.0,0.0,-168.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-04,EDGE,7000,49.0,179.31,8786.19,47.0,181.12,8512.69,-273.5,85.0700000000001,-358.62,Material price,BOM Materials,SPAN Edge
2026-04,EDGE,7100,49.0,48.0,2352.0,47.0,48.0,2256.0,-96.0,0.0,-96.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-04,EDGE,7200,49.0,11.56,566.3,47.0,11.86,557.3,-9.0,14.09999999999995,-23.12,Freight rate,Freight and Duties,SPAN Edge
2026-04,EDGE,7300,49.0,5.0,245.0,47.0,5.0,235.0,-10.0,0.0,-10.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-04,PANEL-A,7000,775.0,220.76,171089.0,747.0,217.54,162498.86,-8590.140000000014,-2405.3399999999992,-6181.28,Material price,BOM Materials,SPAN Panel
2026-04,PANEL-A,7100,775.0,55.0,42625.0,747.0,55.0,41085.0,-1540.0,0.0,-1540.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-04,PANEL-A,7200,775.0,13.48,10449.64,747.0,13.57,10137.51,-312.1299999999992,67.22999999999989,-377.44,Freight rate,Freight and Duties,SPAN Panel
2026-04,PANEL-A,7300,775.0,6.0,4650.0,747.0,6.0,4482.0,-168.0,0.0,-168.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-04,PANEL-B,7000,295.0,255.42,75348.9,296.0,266.37,78846.15,3497.25,3241.2000000000053,255.42,Material price,BOM Materials,SPAN Panel Pro
2026-04,PANEL-B,7100,295.0,62.0,18290.0,296.0,62.0,18352.0,62.0,0.0,62.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-04,PANEL-B,7200,295.0,15.41,4545.83,296.0,15.7,4647.99,102.15999999999985,85.83999999999975,15.41,Freight rate,Freight and Duties,SPAN Panel Pro
2026-04,PANEL-B,7300,295.0,7.0,2065.0,296.0,7.0,2072.0,7.0,0.0,7.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-05,DRIVE,7000,220.0,304.07,66895.4,243.0,294.83,71643.72,4748.320000000007,-2245.3200000000024,6993.61,Material price,BOM Materials,SPAN Drive
2026-05,DRIVE,7100,220.0,70.0,15400.0,243.0,72.8,17690.4,2290.4000000000015,680.3999999999993,1610.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-05,DRIVE,7200,220.0,17.73,3901.0,243.0,17.47,4246.23,345.22999999999956,-63.180000000000376,407.79,Freight rate,Freight and Duties,SPAN Drive
2026-05,DRIVE,7300,220.0,8.0,1760.0,243.0,8.8,2138.4,378.4000000000001,194.40000000000018,184.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-05,EDGE,7000,52.0,179.87,9353.24,55.0,181.47,9980.66,627.4200000000001,87.99999999999969,539.61,Material price,BOM Materials,SPAN Edge
2026-05,EDGE,7100,52.0,48.0,2496.0,55.0,49.92,2745.6,249.5999999999999,105.6000000000001,144.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-05,EDGE,7200,52.0,11.82,614.7,55.0,12.1,665.28,50.57999999999993,15.399999999999965,35.46,Freight rate,Freight and Duties,SPAN Edge
2026-05,EDGE,7300,52.0,5.0,260.0,55.0,5.5,302.5,42.5,27.5,15.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-05,PANEL-A,7000,800.0,217.37,173896.0,752.0,228.22,171624.1,-2271.899999999994,8159.199999999995,-10433.76,Material price,BOM Materials,SPAN Panel
2026-05,PANEL-A,7100,800.0,55.0,44000.0,752.0,57.2,43014.4,-985.5999999999985,1654.4000000000021,-2640.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-05,PANEL-A,7200,800.0,13.79,11033.12,752.0,13.52,10167.86,-865.2600000000002,-203.03999999999968,-661.92,Freight rate,Freight and Duties,SPAN Panel
2026-05,PANEL-A,7300,800.0,6.0,4800.0,752.0,6.6,4963.2,163.19999999999982,451.1999999999997,-288.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-05,PANEL-B,7000,310.0,262.11,81254.1,337.0,270.83,91269.78,10015.679999999993,2938.63999999999,7076.97,Material price,BOM Materials,SPAN Panel Pro
2026-05,PANEL-B,7100,310.0,62.0,19220.0,337.0,64.48,21729.76,2509.7599999999984,835.7600000000014,1674.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-05,PANEL-B,7200,310.0,15.76,4886.1,337.0,16.2,5457.92,571.8199999999997,148.27999999999983,425.52,Freight rate,Freight and Duties,SPAN Panel Pro
2026-05,PANEL-B,7300,310.0,7.0,2170.0,337.0,7.7,2594.9,424.9000000000001,235.90000000000006,189.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-06,DRIVE,7000,230.0,299.34,68848.2,225.0,307.97,69292.94,444.74000000000524,1941.7500000000118,-1496.6999999999998,Material price,BOM Materials,SPAN Drive
2026-06,DRIVE,7100,230.0,70.0,16100.0,225.0,70.0,15750.0,-350.0,0.0,-350.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-06,DRIVE,7200,230.0,18.13,4168.98,225.0,17.35,3902.67,-266.3099999999995,-175.49999999999946,-90.64999999999999,Freight rate,Freight and Duties,SPAN Drive
2026-06,DRIVE,7300,230.0,8.0,1840.0,225.0,8.0,1800.0,-40.0,0.0,-40.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-06,EDGE,7000,55.0,180.64,9935.2,58.0,177.09,10271.45,336.25,-205.899999999999,541.92,Material price,BOM Materials,SPAN Edge
2026-06,EDGE,7100,55.0,48.0,2640.0,58.0,48.0,2784.0,144.0,0.0,144.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-06,EDGE,7200,55.0,12.08,664.62,58.0,12.25,710.59,45.97000000000003,9.859999999999996,36.24,Freight rate,Freight and Duties,SPAN Edge
2026-06,EDGE,7300,55.0,5.0,275.0,58.0,5.0,290.0,15.0,0.0,15.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-06,PANEL-A,7000,825.0,220.2,181665.0,787.0,205.93,162063.34,-19601.660000000003,-11230.489999999985,-8367.6,Material price,BOM Materials,SPAN Panel
2026-06,PANEL-A,7100,825.0,55.0,45375.0,787.0,55.0,43285.0,-2090.0,0.0,-2090.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-06,PANEL-A,7200,825.0,14.1,11630.85,787.0,13.66,10754.15,-876.7000000000007,-346.27999999999963,-535.8,Freight rate,Freight and Duties,SPAN Panel
2026-06,PANEL-A,7300,825.0,6.0,4950.0,787.0,6.0,4722.0,-228.0,0.0,-228.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-06,PANEL-B,7000,325.0,254.83,82819.75,321.0,263.15,84471.07,1651.320000000007,2670.719999999989,-1019.32,Material price,BOM Materials,SPAN Panel Pro
2026-06,PANEL-B,7100,325.0,62.0,20150.0,321.0,62.0,19902.0,-248.0,0.0,-248.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-06,PANEL-B,7200,325.0,16.11,5236.4,321.0,15.42,4950.05,-286.34999999999945,-221.48999999999984,-64.44,Freight rate,Freight and Duties,SPAN Panel Pro
2026-06,PANEL-B,7300,325.0,7.0,2275.0,321.0,7.0,2247.0,-28.0,0.0,-28.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-07,DRIVE,7000,240.0,295.61,70946.4,266.0,294.71,78393.56,7447.1600000000035,-239.40000000000907,7685.860000000001,Material price,BOM Materials,SPAN Drive
2026-07,DRIVE,7100,240.0,70.0,16800.0,266.0,72.8,19364.8,2564.7999999999993,744.7999999999993,1820.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-07,DRIVE,7200,240.0,19.39,4654.8,266.0,19.74,5250.13,595.3299999999999,93.09999999999943,504.14,Freight rate,Freight and Duties,SPAN Drive
2026-07,DRIVE,7300,240.0,8.0,1920.0,266.0,8.8,2340.8,420.8000000000002,212.80000000000018,208.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-07,EDGE,7000,58.0,180.53,10470.74,59.0,179.78,10606.93,136.1900000000005,-44.25,180.53,Material price,BOM Materials,SPAN Edge
2026-07,EDGE,7100,58.0,48.0,2784.0,59.0,49.92,2945.28,161.2800000000002,113.2800000000001,48.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-07,EDGE,7200,58.0,12.93,749.94,59.0,12.74,751.59,1.6499999999999773,-11.20999999999997,12.93,Freight rate,Freight and Duties,SPAN Edge
2026-07,EDGE,7300,58.0,5.0,290.0,59.0,5.5,324.5,34.5,29.5,5.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-07,PANEL-A,7000,850.0,219.28,186388.0,858.0,219.59,188404.89,2016.890000000014,265.98000000000195,1754.24,Material price,BOM Materials,SPAN Panel
2026-07,PANEL-A,7100,850.0,55.0,46750.0,858.0,57.2,49077.6,2327.5999999999985,1887.6000000000024,440.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-07,PANEL-A,7200,850.0,15.08,12822.25,858.0,14.91,12793.32,-28.93000000000029,-145.85999999999993,120.64,Freight rate,Freight and Duties,SPAN Panel
2026-07,PANEL-A,7300,850.0,6.0,5100.0,858.0,6.6,5662.8,562.8000000000002,514.7999999999997,48.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-07,PANEL-B,7000,340.0,258.98,88053.2,342.0,267.19,91380.67,3327.470000000001,2807.819999999993,517.96,Material price,BOM Materials,SPAN Panel Pro
2026-07,PANEL-B,7100,340.0,62.0,21080.0,342.0,64.48,22052.16,972.1599999999999,848.1600000000013,124.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-07,PANEL-B,7200,340.0,17.24,5861.6,342.0,16.6,5677.13,-184.47000000000025,-218.87999999999897,34.48,Freight rate,Freight and Duties,SPAN Panel Pro
2026-07,PANEL-B,7300,340.0,7.0,2380.0,342.0,7.7,2633.4,253.4000000000001,239.40000000000006,14.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-08,DRIVE,7000,250.0,294.24,73560.0,240.0,298.64,71673.04,-1886.9600000000064,1055.9999999999945,-2942.4,Material price,BOM Materials,SPAN Drive
2026-08,DRIVE,7100,250.0,70.0,17500.0,240.0,70.0,16800.0,-700.0,0.0,-700.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-08,DRIVE,7200,250.0,20.72,5179.05,240.0,21.1,5062.93,-116.11999999999989,91.20000000000061,-207.2,Freight rate,Freight and Duties,SPAN Drive
2026-08,DRIVE,7300,250.0,8.0,2000.0,240.0,8.0,1920.0,-80.0,0.0,-80.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-08,EDGE,7000,61.0,179.95,10976.95,61.0,184.55,11257.45,280.5,280.6000000000014,0.0,Material price,BOM Materials,SPAN Edge
2026-08,EDGE,7100,61.0,48.0,2928.0,61.0,48.0,2928.0,0.0,0.0,0.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-08,EDGE,7200,61.0,13.81,842.46,61.0,13.57,827.51,-14.950000000000045,-14.640000000000013,0.0,Freight rate,Freight and Duties,SPAN Edge
2026-08,EDGE,7300,61.0,5.0,305.0,61.0,5.0,305.0,0.0,0.0,0.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-08,PANEL-A,7000,875.0,220.57,192998.75,849.0,222.14,188601.05,-4397.700000000012,1332.9299999999942,-5734.82,Material price,BOM Materials,SPAN Panel
2026-08,PANEL-A,7100,875.0,55.0,48125.0,849.0,55.0,46695.0,-1430.0,0.0,-1430.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-08,PANEL-A,7200,875.0,16.11,14098.52,849.0,15.78,13395.24,-703.2800000000007,-280.1700000000001,-418.86,Freight rate,Freight and Duties,SPAN Panel
2026-08,PANEL-A,7300,875.0,6.0,5250.0,849.0,6.0,5094.0,-156.0,0.0,-156.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-08,PANEL-B,7000,355.0,259.81,92232.55,371.0,264.03,97956.54,5723.989999999991,1565.619999999989,4156.96,Material price,BOM Materials,SPAN Panel Pro
2026-08,PANEL-B,7100,355.0,62.0,22010.0,371.0,62.0,23002.0,992.0,0.0,992.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-08,PANEL-B,7200,355.0,18.41,6537.11,371.0,18.76,6960.79,423.6800000000003,129.85000000000053,294.56,Freight rate,Freight and Duties,SPAN Panel Pro
2026-08,PANEL-B,7300,355.0,7.0,2485.0,371.0,7.0,2597.0,112.0,0.0,112.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-09,DRIVE,7000,260.0,306.57,79708.2,269.0,308.56,83001.99,3293.790000000008,535.3100000000024,2759.13,Material price,BOM Materials,SPAN Drive
2026-09,DRIVE,7100,260.0,70.0,18200.0,269.0,70.0,18830.0,630.0,0.0,630.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-09,DRIVE,7200,260.0,16.69,4339.3,269.0,16.62,4471.97,132.67000000000007,-18.830000000000076,150.21,Freight rate,Freight and Duties,SPAN Drive
2026-09,DRIVE,7300,260.0,8.0,2080.0,269.0,8.0,2152.0,72.0,0.0,72.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-09,EDGE,7000,64.0,178.22,11406.08,64.0,175.3,11219.43,-186.64999999999964,-186.8799999999992,0.0,Material price,BOM Materials,SPAN Edge
2026-09,EDGE,7100,64.0,48.0,3072.0,64.0,48.0,3072.0,0.0,0.0,0.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-09,EDGE,7200,64.0,11.13,712.09,64.0,11.82,756.79,44.69999999999993,44.15999999999997,0.0,Freight rate,Freight and Duties,SPAN Edge
2026-09,EDGE,7300,64.0,5.0,320.0,64.0,5.0,320.0,0.0,0.0,0.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-09,PANEL-A,7000,900.0,216.92,195228.0,925.0,215.98,199777.44,4549.440000000002,-869.499999999998,5423.0,Material price,BOM Materials,SPAN Panel
2026-09,PANEL-A,7100,900.0,55.0,49500.0,925.0,55.0,50875.0,1375.0,0.0,1375.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-09,PANEL-A,7200,900.0,12.98,11682.72,925.0,13.41,12403.04,720.3200000000015,397.7499999999997,324.5,Freight rate,Freight and Duties,SPAN Panel
2026-09,PANEL-A,7300,900.0,6.0,5400.0,925.0,6.0,5550.0,150.0,0.0,150.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-09,PANEL-B,7000,370.0,261.53,96766.1,385.0,268.36,103318.0,6551.899999999994,2629.5500000000156,3922.95,Material price,BOM Materials,SPAN Panel Pro
2026-09,PANEL-B,7100,370.0,62.0,22940.0,385.0,62.0,23870.0,930.0,0.0,930.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-09,PANEL-B,7200,370.0,14.84,5489.02,385.0,14.84,5715.15,226.1299999999992,0.0,222.6,Freight rate,Freight and Duties,SPAN Panel Pro
2026-09,PANEL-B,7300,370.0,7.0,2590.0,385.0,7.0,2695.0,105.0,0.0,105.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-10,DRIVE,7000,270.0,300.68,81183.6,271.0,306.54,83073.42,1889.8199999999924,1588.0600000000036,300.68,Material price,BOM Materials,SPAN Drive
2026-10,DRIVE,7100,270.0,70.0,18900.0,271.0,70.0,18970.0,70.0,0.0,70.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-10,DRIVE,7200,270.0,16.87,4555.28,271.0,16.8,4551.98,-3.300000000000182,-18.970000000000077,16.87,Freight rate,Freight and Duties,SPAN Drive
2026-10,DRIVE,7300,270.0,8.0,2160.0,271.0,8.0,2168.0,8.0,0.0,8.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-10,EDGE,7000,67.0,182.35,12217.45,64.0,183.86,11766.78,-450.6700000000001,96.64000000000124,-547.05,Material price,BOM Materials,SPAN Edge
2026-10,EDGE,7100,67.0,48.0,3216.0,64.0,48.0,3072.0,-144.0,0.0,-144.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-10,EDGE,7200,67.0,11.25,753.59,64.0,11.06,707.67,-45.92000000000007,-12.159999999999968,-33.75,Freight rate,Freight and Duties,SPAN Edge
2026-10,EDGE,7300,67.0,5.0,335.0,64.0,5.0,320.0,-15.0,0.0,-15.0,Warranty and yield,Warranty Reserve,SPAN Edge
2026-10,PANEL-A,7000,925.0,221.79,205155.75,878.0,226.93,199242.04,-5913.709999999992,4512.920000000013,-10424.13,Material price,BOM Materials,SPAN Panel
2026-10,PANEL-A,7100,925.0,55.0,50875.0,878.0,55.0,48290.0,-2585.0,0.0,-2585.0,Manufacturing rate,Contract Manufacturing,SPAN Panel
2026-10,PANEL-A,7200,925.0,13.12,12138.03,878.0,13.43,11794.92,-343.1100000000006,272.18000000000046,-616.64,Freight rate,Freight and Duties,SPAN Panel
2026-10,PANEL-A,7300,925.0,6.0,5550.0,878.0,6.0,5268.0,-282.0,0.0,-282.0,Warranty and yield,Warranty Reserve,SPAN Panel
2026-10,PANEL-B,7000,385.0,256.8,98868.0,397.0,256.74,101924.63,3056.6300000000047,-23.820000000000903,3081.6000000000004,Material price,BOM Materials,SPAN Panel Pro
2026-10,PANEL-B,7100,385.0,62.0,23870.0,397.0,62.0,24614.0,744.0,0.0,744.0,Manufacturing rate,Contract Manufacturing,SPAN Panel Pro
2026-10,PANEL-B,7200,385.0,15.0,5773.77,397.0,14.59,5793.47,19.699999999999818,-162.77000000000007,180.0,Freight rate,Freight and Duties,SPAN Panel Pro
2026-10,PANEL-B,7300,385.0,7.0,2695.0,397.0,7.0,2779.0,84.0,0.0,84.0,Warranty and yield,Warranty Reserve,SPAN Panel Pro
2026-11,DRIVE,7000,280.0,297.86,83400.8,270.0,299.71,80922.28,-2478.520000000004,499.4999999999908,-2978.6000000000004,Material price,BOM Materials,SPAN Drive
2026-11,DRIVE,7100,280.0,70.0,19600.0,270.0,72.8,19656.0,56.0,755.9999999999992,-700.0,Manufacturing rate,Contract Manufacturing,SPAN Drive
2026-11,DRIVE,7200,280.0,18.5,5179.61,270.0,19.32,5215.69,36.07999999999993,221.4000000000001,-185.0,Freight rate,Freight and Duties,SPAN Drive
2026-11,DRIVE,7300,280.0,8.0,2240.0,270.0,8.8,2376.0,136.0,216.0000000000002,-80.0,Warranty and yield,Warranty Reserve,SPAN Drive
2026-11,EDGE,7000,70.0,183.36,12835.2,73.0,183.29,13380.19,544.9899999999998,-5.110000000001577,550.08,Material price,BOM Materials,SPAN Edge
2026-11,EDGE,7100,70.0,48.0,3360.0,73.0,49.92,3644.16,284.15999999999985,140.16000000000014,144.0,Manufacturing rate,Contract Manufacturing,SPAN Edge
2026-11,EDGE,7200,70.0,12.33,863.27,73.0,11.96,873.19,9.920000000000073,-27.00999999999994,36.99,Freight rate,Freight and Duties,SPAN Edge
2026-11,EDGE,7300,70.0,5.0,350.0,73.0,5.5,401.5,51.5,36.5,15.0,Warranty and yield,Warranty Reserve,SPAN Edge
